PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
900 901 902 903 904 905 906 907 908 909 910 
1.69578E+00 9.94506E-02 1.78462E+00 1.04671E-01 1.46849E+03 2.58966E+00 1.51892E-01 8.92110E+02 1.69580E+00 9.94513E-02 1.68325E-01 
1.72422E+00 1.16637E-01 1.81503E+00 1.22786E-01 1.51335E+03 2.63334E+00 1.78147E-01 9.15947E+02 1.72423E+00 1.16638E-01 2.00267E-01 
1.78929E+00 1.48407E-01 1.87477E+00 1.51218E-01 1.55955E+03 2.71647E+00 2.17707E-01 9.40323E+02 1.78930E+00 1.48408E-01 2.41099E-01 
1.90902E+00 1.96807E-01 1.97526E+00 1.91259E-01 1.60727E+03 2.85308E+00 2.72144E-01 9.65318E+02 1.90904E+00 1.96809E-01 2.94015E-01 
2.07195E+00 2.55530E-01 2.11273E+00 2.40192E-01 1.65687E+03 3.04032E+00 3.38768E-01 9.91210E+02 2.07197E+00 2.55533E-01 3.63639E-01 
2.28555E+00 3.26127E-01 2.29365E+00 2.99362E-01 1.70838E+03 3.28701E+00 4.19410E-01 1.01802E+03 2.28558E+00 3.26132E-01 4.56640E-01 
2.55824E+00 4.10225E-01 2.52531E+00 3.70185E-01 1.76185E+03 3.60304E+00 5.15990E-01 1.04576E+03 2.55829E+00 4.10232E-01 5.82914E-01 
2.81574E+00 4.85612E-01 2.74455E+00 4.33902E-01 1.80459E+03 3.90219E+00 6.02899E-01 1.06789E+03 2.81580E+00 4.85622E-01 7.12680E-01 
2.89947E+00 5.09481E-01 2.81592E+00 4.54112E-01 1.81732E+03 3.99957E+00 6.30467E-01 1.07447E+03 2.89953E+00 5.09492E-01 7.57405E-01 
3.35646E+00 6.35389E-01 3.20601E+00 5.60963E-01 1.87941E+03 4.53180E+00 7.76207E-01 1.10653E+03 3.35656E+00 6.35407E-01 1.02630E+00 
3.92065E+00 7.82858E-01 3.68869E+00 6.86535E-01 1.94394E+03 5.19012E+00 9.47424E-01 1.13977E+03 3.92081E+00 7.82887E-01 1.42464E+00 
