PdfType: central
Format: lhagrid1
---
   1.0000000000000001E-009   1.2805087496773329E-009   1.6397026580002066E-009   2.0996536004384440E-009   2.6886248066529422E-009   3.4428075895186204E-009   4.4085452418341216E-009   5.6451807555169663E-009   7.2287033509495714E-009   9.2564178897127844E-009   1.1852924098447012E-008   1.5177773017322716E-008   1.9435271149298264E-008   2.4887034759027869E-008   3.1868065762459105E-008   4.0807337044121510E-008   5.2254152136029562E-008   6.6911899017156363E-008   8.5681272148994874E-008   1.0971561867027273E-007   1.4049180968354591E-007   1.7990099155778314E-007   2.3036479376536950E-007   2.9498413403416981E-007   3.7772976464674552E-007   4.8368626864371759E-007   6.1936449909706121E-007   7.9310166033330520E-007   1.0155736154404181E-006   1.3004509005128978E-006   1.6652387566325320E-006   2.1323527981697613E-006   2.7304964154553227E-006   3.4964245509531374E-006   4.4772022300821299E-006   5.7330966296950335E-006   7.3412803970701236E-006   9.4005737822829745E-006   1.2037516980200697E-005   1.5414145817536453E-005   1.9737948588157687E-005   2.5274615867817270E-005   3.2364366763473565E-005   4.1442854818394238E-005   5.3067938206561213E-005   6.7953959200837646E-005   8.7015639331889072E-005   1.1142428752325099E-004   1.4267977510008573E-004   1.8270270041765416E-004   2.3395240647448257E-004   2.9957810349864276E-004   3.8361238274175352E-004   4.9121901258538520E-004   6.2901024362344536E-004   8.0545312059649397E-004   1.0313897683787222E-003   1.3207036227366310E-003   1.6911725446448070E-003   2.1655612406317548E-003   2.7730201165910612E-003   3.5508765223261178E-003   4.5469284558624116E-003   5.8223816718886608E-003   7.4556106748143655E-003   9.5469747032875165E-003   1.2224984640507846E-002   1.5654199796841295E-002   2.0045339809052397E-002   2.5668233015746944E-002   3.2868396965420543E-002   4.2088269902088901E-002   5.3894397868406066E-002   6.9012248029085344E-002   8.8370787436146028E-002  0.10000000000000001       0.11216216216216217       0.12432432432432433       0.13648648648648648       0.14864864864864866       0.16081081081081083       0.17297297297297298       0.18513513513513513       0.19729729729729731       0.20945945945945948       0.22162162162162163       0.23378378378378381       0.24594594594594596       0.25810810810810814       0.27027027027027029       0.28243243243243243       0.29459459459459458       0.30675675675675679       0.31891891891891894       0.33108108108108109       0.34324324324324329       0.35540540540540544       0.36756756756756759       0.37972972972972974       0.39189189189189189       0.40405405405405403       0.41621621621621629       0.42837837837837833       0.44054054054054059       0.45270270270270274       0.46486486486486489       0.47702702702702704       0.48918918918918919       0.50135135135135134       0.51351351351351360       0.52567567567567564       0.53783783783783790       0.55000000000000004       0.56216216216216219       0.57432432432432434       0.58648648648648649       0.59864864864864864       0.61081081081081079       0.62297297297297294       0.63513513513513520       0.64729729729729735       0.65945945945945939       0.67162162162162153       0.68378378378378379       0.69594594594594594       0.70810810810810809       0.72027027027027024       0.73243243243243250       0.74459459459459465       0.75675675675675669       0.76891891891891884       0.78108108108108110       0.79324324324324325       0.80540540540540539       0.81756756756756754       0.82972972972972980       0.84189189189189195       0.85405405405405399       0.86621621621621614       0.87837837837837840       0.89054054054054055       0.90270270270270270       0.91486486486486485       0.92702702702702711       0.93918918918918926       0.95135135135135129       0.96351351351351344       0.97567567567567570       0.98783783783783785        1.0000000000000000     
  0.99999999999999989        1.0337484978975262        1.0694855305593851        1.1073587164190224        1.1475288117502789        1.1901710629002384        1.2354767157572446        1.2836547027771996        1.3349335307763666        1.3895633960297304        1.4478185570648765        1.5099999999999998     
 900 901 902 903 904 905 906 907 908 909 910 930 931 932 940 941 942
-2.0463575E+00  6.0856399E+00 -2.4120187E+00  6.5717555E+00  9.7786026E+04 -3.5174878E+00  9.3844187E+00  4.5159531E+04 -2.0463738E+00  6.0856841E+00  8.2959880E+00  2.0100119E+00  2.6420502E+01 -9.3539339E+08  2.0098583E+00  2.6420424E+01  9.3577835E+08
-4.2765791E-01  6.2105320E+00 -6.9647247E-01  6.7028276E+00  9.9926656E+04 -1.0794411E+00  9.5702152E+00  4.6242656E+04 -4.2766266E-01  6.2105806E+00  9.0593943E+00  8.1473254E+00  2.7695052E+01 -1.2511211E+09  8.1471737E+00  2.7694977E+01  1.2515137E+09
 1.2075743E+00  6.3336231E+00  1.0341951E+00  6.8319144E+00  1.0202600E+05  1.3792104E+00  9.7531633E+00  4.7302785E+04  1.2075812E+00  6.3336760E+00  9.9002220E+00  1.4392424E+01  2.8970780E+01 -1.6145975E+09  1.4392274E+01  2.8970708E+01  1.6149977E+09
 2.8655988E+00  6.4551736E+00  2.7845349E+00  6.9590370E+00  1.0408669E+05  3.8641719E+00  9.9331962E+00  4.8341366E+04  2.8656221E+00  6.4552310E+00  1.0828095E+01  2.0757875E+01  3.0248064E+01 -2.0222549E+09  2.0757727E+01  3.0247995E+01  2.0226624E+09
 4.5385852E+00  6.5740716E+00  4.5507206E+00  7.0834638E+00  1.0611098E+05  6.3716434E+00  1.0109442E+01  4.9359620E+04  4.5386254E+00  6.5741342E+00  1.1853957E+01  2.7241072E+01  3.1514088E+01 -2.5009686E+09  2.7240925E+01  3.1514022E+01  2.5013834E+09
 6.2445244E+00  6.6925641E+00  6.3435850E+00  7.2064630E+00  1.0810124E+05  8.9139921E+00  1.0283290E+01  5.0358800E+04  6.2445836E+00  6.6926336E+00  1.2990332E+01  3.3868129E+01  3.2777245E+01 -3.0281538E+09  3.3867983E+01  3.2777182E+01  3.0285756E+09
 7.9684887E+00  6.8084408E+00  8.1554055E+00  7.3267629E+00  1.1005952E+05  1.1483224E+01  1.0453330E+01  5.1340077E+04  7.9685727E+00  6.8085162E+00  1.4251552E+01  4.0628037E+01  3.4022283E+01 -3.6393189E+09  4.0627893E+01  3.4022223E+01  3.6397476E+09
 9.7254145E+00  6.9238513E+00  9.9950541E+00  7.4456586E+00  1.1198795E+05  1.4089384E+01  1.0621037E+01  5.2304631E+04  9.7255262E+00  6.9239341E+00  1.5654064E+01  4.7543640E+01  3.5253578E+01 -4.3194854E+09  4.7543497E+01  3.5253521E+01  4.3199208E+09
 1.1507612E+01  7.0376098E+00  1.1859373E+01  7.5625607E+00  1.1388832E+05  1.6729827E+01  1.0785822E+01  5.3253397E+04  1.1507755E+01  7.0377011E+00  1.7216754E+01  5.4611663E+01  3.6461959E+01 -5.0911401E+09  5.4611521E+01  3.6461904E+01  5.0915821E+09
 1.3325216E+01  7.1519002E+00  1.3754167E+01  7.6788548E+00  1.1576253E+05  1.9410984E+01  1.0949312E+01  5.4187425E+04  1.3325395E+01  7.1520002E+00  1.8961390E+01  6.1852274E+01  3.7647278E+01 -5.9486004E+09  6.1852133E+01  3.7647226E+01  5.9490488E+09
 1.5174215E+01  7.2659069E+00  1.5678550E+01  7.7942411E+00  1.1761203E+05  2.2132826E+01  1.1111287E+01  5.5107507E+04  1.5174438E+01  7.2660173E+00  2.0913043E+01  6.9265333E+01  3.8803143E+01 -6.9083323E+09  6.9265193E+01  3.8803093E+01  6.9087870E+09
 1.7067685E+01  7.3818185E+00  1.7640026E+01  7.9101690E+00  1.1943879E+05  2.4903688E+01  1.1273488E+01  5.6014760E+04  1.7067957E+01  7.3819405E+00  2.3100821E+01  7.6864912E+01  3.9928963E+01 -7.9666359E+09  7.6864773E+01  3.9928916E+01  7.9670969E+09
-1.7066550E+00  5.5478084E+00 -2.0664168E+00  5.9689342E+00  8.4052799E+04 -3.0316525E+00  8.5156259E+00  3.8822558E+04 -1.7066690E+00  5.5478486E+00  7.1308861E+00  2.3396612E+00  2.4097164E+01 -6.5169496E+08  2.3394904E+00  2.4097078E+01  6.5202435E+08
